Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	ID	product_name	Weight [gram/serving]	carbon-footprint_100g	CO2 rating	FAT	WATER	energy_100g	PROT	category	parent_category	main_category	price_per_100g	store_currency
103	103	103	103	103	103	103	103	103	4000400130693	Pfanni Kartoffel Püree mit entrahmter Milch komplett 3x 94,5 g	100	121.0	435.32	3.9421000006019904	67.0381800000182	500.1600001382897	3.2265	Knödel &amp; Pürees	gemuese_pilze	Plant-based	1.04	EURO
104	104	104	104	104	104	104	104	104	4002674314014	Ostmann - Austernpilze getrocknet	100	55.0	462.338	0.4	90.5	105.0	2.4	Trockengemüse	gemuese_pilze	Plant-based	2.16	EURO
105	105	105	105	105	105	105	105	105	4388844133754	REWE Beste Wahl Austernpilze Aromatisch	100	55.0	462.338	0.4	90.5	105.0	2.4	Pilze frisch	gemuese_pilze	Plant-based	0.42	EURO
106	106	106	106	106	106	106	106	106	4388858205669	Bio Zwiebeln	100	64.0	471.138	0.14199160736196326	63.1862652760736	115.72316000000002	0.922945447852761	Zwiebeln, Lauch &amp; Knoblauch	gemuese_pilze	Plant-based		
107	107	107	107	107	107	107	107	107	4250262708138	Spreewald Feldmann Kürbis Würfel, 720 ml	100	61.0	471.242	0.06807463935999253	70.96821023246879	209.8983890279622	0.4164291763201219	Essigkonserven	gemuese_pilze	Plant-based		
108	108	108	108	108	108	108	108	108	7613269197485	M Classic Russischer Salat	100	54.0	477.304	0.08800000000000001	88.63059255565209	158.778	1.584	Salatbeilagen &amp; Fertigsalate	gemuese_pilze	Plant-based	0.64	EURO
109	109	109	109	109	109	109	109	109	4008366007011	Frosta Gemüse Pfanne Sommergarten	100	86.0	477.83	3.587730396199206	84.9340900260937	272.1882232603903	1.6562106628609916	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.08499999999999999	EURO
110	110	110	110	110	110	110	110	110	4008366011568	Rahm Gemüse bunte Karotten & Erbsen	100	130.0	492.069	6.752573057485767	79.3654632392293	438.0003225688138	2.2786997612314144	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	2.12	EURO
111	111	111	111	111	111	111	111	111	20320454	Alpenfest Rustikale Kartoffelpfanne	100	133.0	496.43300000000005	5.497773401942687	77.6520516389364	396.9592545456276	3.573291718699326	Kartoffelgerichte	gemuese_pilze	Plant-based	0.172	EURO
112	112	112	112	112	112	112	112	112	5411361017852	ardo - Blattspinat	100	60.0	497.62	0.4	91.7	95.0	2.7	Gemüsebeilagen &amp; Mischgemüse	gemuese_pilze	Plant-based	0.252	EURO
