,origins,manufacturing_places,purchase_places
443048,France et hors France,France,France
443058,,France,"Harnes,France"
443072,Produit et conditionné en France,"Oeufs Nord Europe - Rue de Rouval - ZI de Rouval,80600 Doullens,Somme,Picardie,France",France
443073,France,"Crêperie Jarnoux SA - Rue de la Saudraie la Poterie - ZI de Lanjouan,22400 Lamballe,Côtes-d'Armor,Bretagne,44350 Guérande,Loire-Atlantique,Pays de la Loire,France",France
443082,,"Les Salaisons de l'Arrée - Parc d'Entreprises - 29690 Brennilis,Finistère,Bretagne,France","Caluire-et-Cuire,France"
443095,,"33000 Bordeaux,Gironde,Aquitaine,France",France
443096,,"Freiberger Lebensmittel GmbH & Co. (Filiale Südzucker AG) - Draisstraße 1-5 - 76461 Muggensturm,Bade-Wurtemberg,Allemagne,Union Européenne",France
443099,France,France,"Montrouge,France"
443100,,Belgique,"33170 Gradignan,France"
443101,France,France,"France,Trignac"
443118,France,France,"France,Trignac"
443119,"Lait,France","Novandie (Filiale Groupe Andros) - 11 Rue du Centre - 62240 Vieil-Moutier,Pas-de-Calais,Nord-Pas-de-Calais,France","Villers Bocage 80260,France"
443128,,"Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine,France",France
443132,,"Corbas,France",France
443154,,Pologne,"Noyelles-Godault,France"
443156,,"Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France","Metz,Avrillé,France"
443159,,Belgique,"France,Trignac"
443162,,Belgique,"Caluire,Rhône,France"
443169,,France,"Olivet,France"
443175,,France,France
443184,Colin d'Alaska (Theragra chalcogramma),"Primel Gastronomie [Filiale Groupe Sill (Société Industrielle Laitière du Léon)] - 235 Route de Kerastren - Lieu dit Kerfeunteun - 29630 Plougasnou,Finistère,Bretagne,France","Avrillé,France"
443204,"France,Importation","26140 Anneyron,Drôme,Rhône-Alpes,France","33170 Gradignan,France"
443213,,"Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France","Metz,France"
443219,,"Tradition Traiteur - Avenue des Landiers - Zone Industrielle Nord - 73000 Chambéry,Savoie,Rhône-Alpes,France","33170 Gradignan,France"
443220,,France,France
443222,,"02290 Montigny-Lengrain,Aisne,Picardie,France","Cesson-Sévigné,France"
443223,,"02290 Montigny-Lengrain,Aisne,Picardie,France","Semécourt,France"
443228,,"Bric Fruit [Filiale de Fruité (Groupe Britvic)] - Lieu dit La Jaunaie - 44690 Château-Thébaud,Loire-Atlantique,Pays de la Loire,Fruité (Groupe Britvic) - 389 Rue Ingénieur Sansoube - ZI Les Afforêts - 74800 La Roche-sur-Foron,Haute-Savoie,Auvergne-Rhône-Alpes,France","Paris,France"
443238,"Viande de porc,Union Européenne","Société Aubret (Filiale Groupe d'aucy) - ZI Route de Maumusson - 44540 Saint-Mars-la-Jaille,Loire-Atlantique,Pays de la Loire,France","Montrouge,France"
443245,France,France,"Caluire-et-Cuire,Rhône,Rhône-Alpes,France,Trignac"
443250,France,France,"France,Trignac"
443251,,France,"France,Trignac"
443252,"Viande Bovine,France","Primel Gastronomie [Filiale Groupe Sill (Société Industrielle Laitière du Léon)] - 235 Route de Kerastren - Lieu dit Kerfeunteun - 29630 Plougasnou,Finistère,Bretagne,France",France
443253,,"Tradition Traiteur - Avenue des Landiers - Zone Industrielle Nord - 73000 Chambéry,Savoie,Rhône-Alpes,France","Ile de france,France"
443255,,"Nor'Pain (Filiale Groupe Norac) - 67 Rue du Vieux Moulin - 76890 Val-de-Saâne,Seine-Maritime,Haute-Normandie,France","Caluire-et-Cuire,Amiens,Villers Bocage 80260,France"
443257,,"59553 Cuincy,Nord,Nord-Pas-de-Calais,France","33170 Gradignan,France"
443258,France,France,"Clermont-Ferrand,France"
443260,,Italie,France
443267,,Italie,"Saint-Priest,France"
443273,,"Maison Traiteur Restauration,Alby-sur-Chéran,Haute-Savoie,Rhône-Alpes,France","Caluire-et-Cuire,Rhône,Rhône-Alpes,France"
443281,,France,France
443283,France,"Joyeuse,Ardèche,France","Toulouse,France"
443288,,France,"France,Trignac"
443303,france et hors france,france,france
443305,,"Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France","Brétigny-sur-Orge,France"
443307,"France,Hors France","Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France","Saint-Priest,France"
443308,"France,Hors France","Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France","Saint-Priest,France"
443309,"France,Hors France","Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France","Saint-Priest,France"
443315,"France,Hors France","Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France","Villers Bocage 80260,France"
443319,,"Delpeyrat Traiteur [Filiale Groupe Maïsadour (Holding MVVH)] - Agropôle - 47310 Estillac,Lot-et-Garonne,Aquitaine,France",France
443320,,"Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,France","Marseille,France"
443324,,France,"France,Trignac"
443325,,"Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,France",France
443327,,"Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Clos du Poivre - Route d'Assérac - 44410 Herbignac,Loire-Atlantique,Pays de la Loire,France",France
443331,"France,Union Européenne","Marie - MSAS (Filiale Groupe Lambert Dodard Chancereul - LDC) - Route de Landrevarzec - 29510 Briec,Finistère,Bretagne,France",France
443334,France,"France,Isère",France
443337,,France,"France,Trignac"
443340,,"Biscuiterie Fouesnantaise (Filiale Groupe Poult) - ZA de Park C'Hastel - 29170 Fouesnant,Finistère,Bretagne,France","Saint-Priest,France"
443344,,Espagne,France
443347,,France,France
443350,,"France,Andrézieux-Bouthéon,Loire,GIE BPGR - Boulevard Desgranges - Z.I. - 42160 Andrézieux-Bouthéon,GIE BPGR","Montrouge,France"
443352,,"villeneuve d'Ascq,France","bordeaux,France,Trignac"
443354,,"France,42470 Saint Symphorien de Lay",France
443355,,Saint-Symphorien de Lay,"Paris,France"
443357,,"Dailycer France [Filiale Pan Foods Europe B.V. (Filiale Groupe Mahajan Industries)] - Aux Sentiers d'Etelfay - 80500 Faverolles,Somme,Picardie,France","Valenciennes,Villers Bocage 80260,France"
443362,,Belgique,France
443363,,"Belgique,5150 Floreffe",France
443365,France,"45550 Saint Denis de l'Hôtel,France","Fontenay-sous-Bois,France,Saint Genis Laval"
443367,"Soja,France,Agriculture UE/non UE","Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France",France
443376,,France,Noyon
443379,France,France,"France,Trignac"
443380,France,"Sarthe,France","Toulouse,France"
443392,"Sel de Guérande,44350 Guérande,Loire-Atlantique,Pays de la Loire,France,Agriculture UE","Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux,Vaucluse,Provence-Alpes-Côte d'Azur,France","La Défense,France"
443393,,France,"France,Trignac"
443395,,France,"Poitiers,France"
443397,,"France,Le ptit clos,87230 Champsac,Delouis fils,Champsac","Saint-Priest,France"
443398,,France,France
443403,,"Natra Saint-Étienne S.A.S.,Natra S.A.,Saint-Étienne,Arrondissement de Saint-Étienne,Loire,Auvergne-Rhône-Alpes,France","Madrid,España"
443410,,France,"France,Trignac"
443411,,Sarre Union,"France,Trignac"
443413,,"La Roche sur Foron,France",France
443414,,"Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine,France","Fontenay-sous-Bois,France"
443417,,"Finistère,Bretagne,France,Eurial 29340 Riec sur Belon",Montrouge
443419,Livarot,Livarot,Valence
443423,,Allemagne,"France,Saint-Priest"
443430,,"Société Fromagère de Domfront (Filiale Groupe Lactalis) - Rue de l'Industrie - 61700 Domfront,Orne,Société Fromagère de Sainte-Cécile (Filiale Groupe Lactalis) - L'Acherie - 50800 Sainte-Cécile,Manche,Basse-Normandie,France",France
443435,,"Florette France GMS - FFG (Filiale Agrial) - Espace d'activités Fernand Finel - 50430 Lessay,Manche,Basse-Normandie,France","Villers Bocage  80260,France,F-77480 Mousseaux-les-Bray"
443437,,Italie,France
443442,Union Européenne,France,"Noyelles-Godault,France"
443444,Union Européenne,France,"Noyelles-Godault,France"
443452,"UE/hors UE,UE,non UE",France,"sennecey-le-grand,france"
443461,,Allemagne,France
443462,,Allemagne,France
443464,"Piment d'Espelette,Pyrénées-Atlantiques,Aquitaine,France","Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux,Vaucluse,Provence-Alpes-Côte d'Azur,France","Saint-Priest,France"
443465,,"Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux,Vaucluse,Provence-Alpes-Côte d'Azur,France","Paris,France"
443466,,France,France
443467,,"Frial - 6 Route de Caen - 14400 Saint-Martin-des-Entrées,Calvados,Basse-Normandie,France","Harnes,France"
443480,Océan Pacifique,France,France
443486,,"France,Bretagne","France,Trignac"
443487,,"Roussas Dairy,Almyros,Grèce",France
443492,,Allemagne,"france,33170 Gradignan"
443494,,France,"Noyelles-Godault,France"
443508,,"LDC Sablé (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI Saint Laurent - 72300 Sablé-sur-Sarthe,Sarthe,Pays de la Loire,France","Noyelles-Godault,France"
443515,France,France,"France,Trignac"
443527,,Pays-Bas,France
443532,France,"France,Savoie",France
443535,,Belgique,France
443537,,"FRUITE,La Roche sur Foron,France",France
443539,,"24100 Bergerac,Dordogne,Aquitaine,France",France
443541,France,France,France
443545,,France,"Saint-Priest,France"
443547,,CSQA 227931,Montrouge
443555,,"Fabriqué affiné et conditionné dans la zone d'appellation d'origine,Affiné par PFCE - 25170 Laverney,Conditionné par la Fromagerie de Clerval - 25340 Santoche,PFCE -25170 Laverney,Laverney,PFCE,Fromagerie de Clerval,25340 Santoche,Doubs","France,Montrouge"
443561,Agriculture UE/non UE,"Nor'Pain (Filiale Groupe Norac) - 67 Rue du Vieux Moulin - 76890 Val-de-Saâne,Seine-Maritime,Haute-Normandie,Pain Concept (Filiale Groupe Norac) - Parc Atlantique - Avenue des Chênes - 85210 Sainte-Hermine,Vendée,Pays de la Loire,France",France
443562,Agriculture UE / non UE,"Tradition Traiteur - Avenue des Landiers - Zone Industrielle Nord - 73000 Chambéry,Savoie,Rhône-Alpes,France",France
443563,,"Chambéry,France",France
443565,,"Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon,Indre,Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France","Caluire-et-Cuire,France"
443569,Agriculture UE/non UE,"Biscuiterie de l'Abbaye - Route du Val - 61700 Lonlay-l'Abbaye,Orne,France","Chatillon,France"
443572,,France,France
443575,,France,"France,Trignac"
443579,,"Novandie (Filiale Groupe Andros) - Rue de la Gravelle - 35560 Marcillé-Raoul,Ille-et-Vilaine,Bretagne,France",France
443600,,"Italie,Gattatico",France
443612,"Côte d'Ivoire,Thon albacore","92400 Courbevoie,Hauts-de-Seine,Île-de-France,France","33170 Gradignan,France"
443615,,"Les Crudettes (Filiale Financière SDH) - Route de Cavaillon - ZAC de la Plaine - 13440 Cabannes,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Les Crudettes (Filiale Financière SDH) - Rue de Saint-Barthélémy - ZI Saint-Barthélémy - 45110 Châteauneuf-sur-Loire,Loiret,Centre-Val de Loire,France","Villers Bocage 80260,France"
443628,"France,Agriculture France","Oeufs Nord Europe - Rue de Rouval - ZI de Rouval,80600 Doullens,Somme,Picardie,France","Semecourt,France"
443638,"Viande Bovine,France","William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre,Aisne,Picardie,France","Saint-Priest,France"
443644,,"Candia (Filiale Sodiaal International) - 116 Rue George Sand - ZI Molina la Chazotte - 42350 La Talaudière,Loire,Rhône-Alpes,France","Amiens,France"
443645,France,France,"France,Trignac"
443649,,"Société Aubret (Filiale Groupe d'aucy) - ZI Route de Maumusson - 44540 Saint-Mars-la-Jaille,Loire-Atlantique,Pays de la Loire,France",France
443655,"Auvergne,France",France,"France,Trignac"
443656,"Union Européenne,France",France,"Bosc Roger en Roumois,France"
443657,"France,Union Européenne","Les Herbiers,Vendée,France","Bosc Roger en Roumois,France"
443659,France,France,"Trignac,France"
443663,,France,France
443664,,"Marie (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI de l'Aubrée - 72300 Sablé-sur-Sarthe,Sarthe,Pays de la Loire,France",France
443665,,"France,Auvergne",France
443667,,Franche-Comté,Cavaillon
443671,,France,"France,Trignac"
443672,,"Les Fromageries Occitanes,15100,Saint-Flour,France","05000,Gap,France"
443673,,France,France
443674,"Nouvelle Fromagerie de Vaudes,10260 Vaudes,Aube,Champagne-Ardenne,Ou,Fromagerie Lincet,89100 Saligny,Yonne,Bourgogne,France","Nouvelle Fromagerie de Vaudes - 5 Grande Rue,10260 Vaudes,Aube,Champagne-Ardenne,Fromagerie Lincet - 15 Rue de la Quennevelle,89100 Saligny,Yonne,Bourgogne,France","33170 Gradignan,France"
443676,France,"Normandie,France","Saint-Priest,France,Noyelles-Godault"
443678,"Mer de Norvège,Atlantique Nord-Est",France,France
443711,,France,France
443712,"France,Hors France",France,France
443722,,"13011 Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,92000 Nanterre,Hauts-de-Seine,Île-de-France,France","Noyelles-Godault,France"
443729,Communauté Européenne,Espagne,"Lyon,France"
443732,,Espagne,"France,Trignac"
443744,Italie,Italie,Montrouge
443748,,"Franche-Comté,France,Monts et Terroirs,Poligny","Strasbourg,France,Sennecey-le-grand"
443749,France,"France,Franche-Comté",France
443751,Italie,"Nuova Castelli S.p.A.,42124 Reggio Emilia,Reggio d'Émilie,Émilie-Romagne,Italie","33170 Gradignan,France,Brétigny-sur-Orge,Montrouge"
443758,"Champagne,France","Jura,France",France
443759,France,France,France
443761,,Belgique,France
443790,,Espagne,"Caluire-et-Cuire,France"
443799,"France,Corse","France,78780 Maurecourt",France
443800,"Normandie,France",France,France
443801,,"Bretagne,France","Harnes,France"
443802,"France,European Union,Union Européenne",France,France
443810,,"Importé du,Maroc,Par,Conserverie Chancerelle - 29100 Douarnenez,Finistère,Bretagne,France","Amiens,France"
443811,,"Maroc,Importé par,Jealsa Rianxeira - Bodion s/n - 15.930 Boiro,La Corogne,Galice,Espagne",France
443812,,"Importé du,Maroc,par,Conserverie Chancerelle - 29100 Douarnenez,Finistère,Bretagne,France",France
443834,,"Bressor (Filiale Savencia Fromage & Dairy) - Le Village - 01960 Servas,Ain,Rhône-Alpes,France",France
443838,Agriculture UE,"La Fromagerie de la Lémance - ZA du Haut Agenais - 47500 Montayral,Lot-et-Garonne,Aquitaine,France","Noyelles-Godault,France"
443839,,"Montayral (47500),France","Toulon,France"
443841,Italie,Italie,France
443842,Grèce,Grèce,"Saint-Priest,France"
443843,France,"Isère,France","Saint-Priest,France"
443852,Agriculture UE/non UE,"Jean Stalaven (Filiale Euralis Coop) - Avenue de la Gironde - ZI de Petite Synthe - 59640 Dunkerque,Nord,Nord-Pas-de-Calais,France",France
443854,"Espagne,France","France,40120 Roquefort",France
443864,,"Rocal SAS,Saint Benoît sur Loire","Toulouse,France"
443867,,"62223 Feuchy,Pas-de-Calais,Nord-Pas-de-Calais,France",France
443869,Union Européenne,"Cooperl Arc Atlantique - 7 Rue de la Jeannaie Maroué - Zone Industrielle - 22400 Lamballe,Côtes-d'Armor,Bretagne,France",France
443870,Union européenne,France,"Tarare,France"
443875,,"Corbas,Rhône-Alpes,France","Saint-Priest,France"
443879,,"France,Allex,Drôme",France
443884,,France,France
443890,,"Les Crudettes (Filiale Financière SDH) - Route de Cavaillon - ZAC de la Plaine - 13440 Cabannes,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Les Crudettes (Filiale Financière SDH) - Rue de Saint-Barthélémy - ZI Saint-Barthélémy - 45110 Châteauneuf-sur-Loire,Loiret,Centre-Val de Loire,France","Cesson,France"
443892,,"Bretagne,France,Douarnenez","Toulouse,France"
443898,France,France,"France,Strasbourg"
443901,France,France,France
443913,,France,"Noyelles-Godault,France"
443916,,"Saint-Yrieix-la-Perche,Haute-Vienne,France",F-77480 Mousseaux-les-Bray
443917,,"Nord-Pas-de-Calais,France","Le Kremlin Bicêtre,France"
443919,,"Conserverie Chancerelle - 29100 Douarnenez,Finistère,Bretagne,France",France
443922,,"Raynal et Roquelaure (R&R) - 9 Rue des Silos - 47110 Sainte-Livrade-sur-Lot,Lot-et-Garonne,Aquitaine,France","Caluire-et-Cuire,France"
443926,,"Compagnie Générale de Produits Alimentaires Peny - CGPA [Filiale Union Fermière Morbihannaise - UFM (Filiale Groupe CECAB)] - Pont Hellec - 29380 Saint-Thurien,Finistère,Bretagne,France",France
443927,,"Compagnie Générale de Produits Alimentaires Peny - CGPA [Filiale Union Fermière Morbihannaise - UFM (Filiale Groupe CECAB)] - Pont Hellec - 29380 Saint-Thurien,Finistère,Bretagne,France","Avrillé,France"
443928,Union Européenne,france,"mulhouse,france"
443929,,France,"France,Trignac"
443934,,"Lactalis Nestlé Ultra-Frais Laval - LNUF Laval (Filiale Groupe Lactalis) - Boulevard Arago - ZI des Touches - 53810 Changé,Mayenne,Pays de la Loire,France","33170 Gradignan,France"
443936,,France,France
443942,France,"Sacco Bis - 4 Rue du Four à Chaux - Le Pacage,62223 Sainte-Catherine-lès-Arras,Pas-de-Calais,Nord-Pas-de-Calais,S.A.N.N.C.O. - Pendant du Rouau,54550 Maizières,Meurthe-et-Moselle,Lorraine,Panier d'Oeufs - 185 Quartier Marcou,26120 Upie,Drôme,Rhône-Alpes,France",France
443946,,France,"France,Trignac"
443950,,"Bergerac,France",France
443951,France,"Casseneuil,France","Toulouse,France"
443962,France,France,"Noyelles-Godault,France"
443966,Saumon Atlantique (Salmo salar),"Jean Stalaven (Filiale Euralis Coop) - Avenue de la Gironde - ZI de Petite Synthe - 59640 Dunkerque,Nord,Nord-Pas-de-Calais,France","Bobigny,France"
443979,France,"Cooperl Arc Atlantique - 7 Rue de la Jeannaie Maroué - Zone Industrielle - 22400 Lamballe,Côtes-d'Armor,Bretagne,France","Metz,France"
443994,,"Bretagne,France","France,Trignac"
443998,,"France,Sarthe",France
444001,France,France,"Noyelles-Godault,France"
444010,France,"France,Bourgogne",France
444020,Union Européenne,France,France
444021,,France,France
444033,France,France,"France,Trignac"
444056,"France,Poitou-Charentes",France,"France,Trignac"
444070,,France,"France,Bordeaux"
444088,"France,Guérande",France,"France,Trignac"
444089,"Guérande,Bretagne,France",Bretagne,"France,Trignac"
444095,Agriculture UE / non UE,"Wittenheim,Alsace,France",Noyon
444104,,EMB 59094,"France,L'Hay les Roses"
444116,,Auchan Production,France
444134,,France,"Saint-Priest,Rhône,France"
444136,,France,"France,Trignac"
444138,"France,Union Européenne","France,Tourc'h,Bretagne","France,Trignac"
444140,,Pays-Bas,France
444159,Union Européenne,France,France
444163,,France,"Trignac,France"
444165,,Italie,"Noyelles-Godault,France"
444166,France,France,"Strasbourg,France"
444168,,France,France
444176,France,France,France
444187,,France,France
444189,,France,"Caluire-et-Cuire,Rhône,Rhône-Alpes,France"
444192,Union Européenne,Allemagne,"France,Trignac"
444198,,France,France
444200,France,France,"Saint-Priest,France"
444202,,"Bretagne,France","France,Trignac"
444206,Océan  Atlantique Nord-Est,Bretagne,"France,Trignac"
444225,France,France,"Strasbourg,France,Noyelles-Godault"
444226,France,France,"Velizy,France,Noyelles-Godault"
444243,,D-49201 Dissen Basse Saxe,f-77480 Mousseaux-les-Bray
444248,France,Belgique,"France,sennecey-le-grand"
444249,France,Belgique,"Harnes,France"
444254,,Italie,France
444268,,"42470,Saint Symphorien de Lay","Olivet,France"
444273,,France,"Caluire,Rhône,France"
444275,,France,"Almada,Portugal"
444282,,Saint Symphorien de Lay,France
444283,,"Centre,France","Martigues,France"
444287,Inde,allemagne,"Noyelles-Godault,France"
444288,Pérou,France,"Noyelles-Godault,France"
444289,Pérou,France,France
444292,"République Dominicaine,Saint-Domingue","Saint-Etienne,France","Noyelles-Godault,France"
444295,Mexique,France,"Noyelles-Godault,France"
444297,France,France,France
444298,France,France,France
444299,"France,Lait origine France",France,"Trignac,France"
444301,France,France,"France,Trignac"
444302,France,"France,Gironde","Clermont-Ferrand,France"
444317,,France,Cesson
444334,,"Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine,France","Avrillé,France"
444340,France,France,France
444343,,France,"Strasbourg,France"
444346,France,France,"Brétigny-sur-Orge,France"
444369,,"Bonduelle Traiteur International - BTI (Filiale Bonduelle) - 67 Route de Concarneau - 29140 Rosporden,Finistère,Bretagne,France","33170 Gradignan,France"
444375,,"France,84170","France,Trignac"
444378,,"France,85805 Saint Gilles Croix de Vie,Vendée","France,Harnes"
444380,,France,"Saint-Priest,France"
444399,,France,France
444400,France,France,"Noyelles-Godault,France"
444406,France,France,"Saint-Priest,France"
444411,,"Soulié Restauration (Filiale William Saurin) - 392 Rue des Artisans - ZA Bel Air - 12000 Rodez,Aveyron,Midi-Pyrénées,France","Paris,France"
444412,Union Européenne,France,"France,Trignac"
444413,Union Européenne,"Soulié Restauration (Filiale William Saurin) - 392 Rue des Artisans - ZA Bel Air - 12000 Rodez,Aveyron,Midi-Pyrénées,France","Caluire-et-Cuire,France"
444414,,Belgique,France
444422,,"Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France","Montrouge,France"
444435,Pacifique,"Bretagne,Finistère - Landivisiau,France par EMB 29097E",77480 Mousseaux les Bray
444439,France,"Le Lion d'Angers,France","Strasbourg,France"
444455,,France,France
444461,France,France,France
444475,Union européenne,Les Matès,"Tarare,France,Brétigny-sur-Orge"
444492,,"Biscuiterie Fouesnantaise (Filiale Groupe Poult) - ZA de Park C'Hastel - 29170 Fouesnant,Finistère,Bretagne,France",France
444502,"France,Hors France","Agis (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZA du Cantubas - Le Cantubas - 69170 Tarare,Rhône,Rhône-Alpes,France",France
444519,,France,"France,Trignac"
444522,France,France,France
444523,,"Savoie,France","Toulouse,France"
444525,,"33290,Blanquefort",lyon
444528,,"Lactalis Nestlé Ultra-Frais Bayeux - LNUF Bayeux (Filiale Groupe Lactalis) - Rue Jean Mermoz - ZAC des Longchamps - 14400 Saint-Martin-des-Entrées,Calvados,Basse-Normandie,France","Villers Bocage 80260,France"
444532,Atlantique Nord-Est,"Bourbourg,Nord,Nord-Pas-de-Calais,France","Avrillé,France"
444540,France,"Candia (Filiale Sodiaal International) - Rue de la Croix des Vernes - 03270 Saint-Yorre (Site fermé depuis le 31/12/2013),Allier,Auvergne,Candia (Filiale Sodiaal International) - 1040 Route Nationale - 59400 Awoingt,Nord,Nord-Pas-de-Calais,France","Avrillé,France"
444546,Agriculture UE,"Société Laitière de l'Hermitage (Filiale Groupe Lactalis) - Place de la Gare - 35590 L'Hermitage,Ille-et-Vilaine,Bretagne,France","Fontenay-sous-Bois,France"
444547,France,France,"France,Trignac"
444551,,"La Toque Angevine (Filiale Groupe Lambert Dodard Chancereul - LDC) - Rue Robert Schuman - ZI d'Etriché - 49500 Segré,Maine-et-Loire,Pays de la Loire,France","Villers Bocage 80260,France"
444559,,France,France
444565,"Provence,France","Aix-en-Provence,France","Balma,France"
444573,,Allemagne,"Saint Priest,Auchan"
444576,,"Belgique,B8800",Bréitngy-sur-Orge
444583,,France,"Cesson,Noyelles-Godault,France"
444586,France,France,"France,Trignac"
444588,,France,France
444592,,Pays-Bas,"Caluire-et-Cuire,Rhône,France"
444593,,"Sterilgarda Alimenti S.p.A. - Via Medole 52,46043 Castoglione delle Stiviere,Mantoue,Lombardie,Italie","Caluire-et-Cuire,Rhône,Rhône-Alpes,France"
444596,"Franche-Comté,France","Conditionné par :,Monts & Terroirs (Filiale Sodiaal International),Vevy,Jura,Franche-Comté,France","villefranche sur Saône,France"
444614,,France,"France,Noyelles-Godault"
444620,,France,"France,Espagne"
444633,,France,France
444634,,France,"France,Trignac"
444635,"Union européenne,Non UE",Belgique,France
444648,,"Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine,France","Cesson,France"
444657,France,France,"France,Trignac"
444659,Union Européenne,"Tulette,France",France
444660,,"Tulette,France",France
444661,,France,France
444675,,France,France
444695,France,France,"France,Trignac"
444711,,France,"Saint-Priest,France"
444712,"Champignons (Boletus Luteus),Champignons (Cèpes Edulis),Sel de Guérande,44350 Guérande, Loire-Atlantique, Pays de la Loire, France,Agriculture UE/non UE","Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux,Vaucluse,Provence-Alpes-Côte d'Azur,France",France
444713,,France,"Saint-Priest,France"
444714,"Sel de Guérande,44350 Guérande,Loire-Atlantique,Pays de la Loire,France,Agriculture UE/non UE","Louis Martin Production - Quartier La Peyrouse - Chemin de la Buire - 84170 Monteux,Vaucluse,Provence-Alpes-Côte d'Azur,France","Saint-Priest,France"
444731,France,France,"Toulouse,France"
444734,"Aude,Languedoc-Roussillon,France","Mouilleron-le-Captif,Vendée,Pays de la Loire,France","33170 Gradignan,France"
444736,"Vendée,France",France,"Toulouse,France"
444742,"Canada,Conditionné en France","Merville,Nord,Nord-Pas-de-Calais,France","Marseille,France"
444745,,France,"Saint-Priest,France"
444750,,Allemagne,"Toulouse,France"
444762,,France,France
444763,,France,France
