,origins,manufacturing_places,purchase_places
35596,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
35800,,Royaume-Uni,"Royaume-Uni,France"
35803,Trinité-et-Tobago,Trinité et Tobago,France
35861,,United Kingdom,"Liverpool,United Kingdom"
36314,México,México,Walmart
36315,México,"Estado de México,México",Walmart
36316,México,México,Walmart
36317,México,México,Walmart
36318,Mexico,Estado de Mexico,Walmart
36320,Mexico,Estado de Mexico,Walmart
36321,Estado de México,Estado de México,Walmart
36322,Mexico,México,México
36323,Mexico,"Estado de México,México",México
36324,México,México,México
36325,México,México,México
36326,México,"Estado de México,México",México
36327,Mexico,Estado de Mexico,México
36329,México,Estado de México,Walmart
36330,Mexico,"Estado de,Mexico",Walmart
36332,México,México,Walmart
36333,Estado de Mexico,Estado de Mexico,Walmart
38206,"Kenya,Rwanda,Afrique",Royaume-Uni,"France,Royaume-Uni"
38355,,France,"France,Paris"
38374,Germany,Germany,"NSW,Australia"
38391,Switzerland,Kilchberg,Canada
38404,France,France,Canada
38418,,United States,"San Francisco,California,USA"
38566,,Denmark,"Liverpool,United Kingdom"
38568,E.U.A.,E.U.A.,"Tiendas departamentales,México"
38721,,Denmark,"Liverpool,United Kingdom"
38732,MEXICO,MEXICO,MEXICO
38737,E.U.A.,E.U.A.,"Tiendas departamentales,México"
38880,"USA,Unknown Imported",USA,"NSW,Australia"
39135,"Royaume-Uni,Ecosse",Royaume-Uni,France
39190,USA,"Battle Creek,Michigan,USA","Midland,Michigan,USA"
39222,México,México,Walmart
39263,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
39266,ESTADOS UNIDOS AMÉRICANOS,ESTADOS UNIDOS AMERICANOS,MÉXICO
39272,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
39298,Estados Unidos,México,Walmart
39633,EXTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
39762,,Japan,"San Francisco, California, USA"
39839,Philippines,Philippines,"NSW,Australia"
39875,Philippines,"Westlake Village CA,California,USA","Pensacola,Florida"
40006,,"Walkers Shortbread Ltd,Aberlour on Spey,AB38 9PD,Scotland,United Kingdom,Écosse","United Kingdom,Edinburgh Airport"
40009,Écosse,"Écosse,Aberlour,Speyside,Royaume-Uni","Nantes,France"
40036,,Scotland,"Westminster,London,UK"
40044,,"Royaume-Uni,Écosse","France,Royaume-Uni"
40054,,Scotland,"Brent,London,UK,United Kingdom"
40071,,"Scotland,Écosse,Royaume-Uni","Brent,London,UK"
40094,,"Écosse,Royaume-Uni",Royaume-Uni
40144,,Canada,"San Francisco,California,USA"
40370,,Royaume-Uni,"France,Royaume-Uni"
40371,,Royaume-Uni,"France,Paris"
41055,,"Oregon, USA",United States
41059,U.S.A.,"Milwaukie,oregon,USA",Brossard
41092,Estados Unidos,"Oregon,Milwaukie.",México
41097,,Royaume-Uni,"Royaume-Uni,France"
41225,,"Croatia,Croatie","France,Paris"
41397,Espagne,Espagne,Canada
41448,,the Netherlands,"Liverpool,United Kingdom"
41454,,Royaume-Uni,"Royaume-Uni,France,Paris,Londres"
41476,MEXICO,MEXICO,MEXICO
41529,"Royaume-Uni,Nouvelle Zélande",Royaume-Uni,Royaume-Uni
41905,,Italie,"France,Royaume-Uni"
42038,EUA,EUA,MEXICO
42247,,USA,"Chicago,Illinois,USA"
42490,,usa,Canada
44244,United States,"Minneapolis,   MN",United States
47450,EUA,EUA,MEXICO
47471,EUA,EUA,MEXICO
48008,"India, Brazil, Vietnam, Indonesia, Ghana",USA,Saint Kitts and Nevis
49837,,Dominican Republic,"San Francisco,California,USA"
49838,República Dominicana,"[ENVASADOR],República Dominicana,[DISTRIBUIDOR],Casarrubios del Monte,Toledo (provincia),Castilla-La Mancha,España","Madrid,España"
50666,Massachusetts,"Marlborough,Massachusetts","Hudson,Florida"
51371,Estados Unidos,Ciudad de México,Walmart
51404,Estados Unidos,Estados Unidos,Tiendas de autoservicio
51413,Estados Unidos,Estados Unidos,Tiendas de autoservicio
51417,Estados Unidos,Estados Unidos,Tiendas de autoservicio
51435,Estados Unidos,Estados Unidos,Tiendas de autoservicio
51450,EUA,EUA,MEXICO
51461,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
51471,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
51493,EUA,EUA,MEXICO
51524,,"USA,Sab Fransisco","Polynésie française,Arue"
51579,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
51872,,Canada,Northport al
52535,,USA,México
52536,,USA,México
52561,USA,USA,México
52563,USA,USA,México
52565,,USA,México
52577,,USA,México
52586,Estados Unidos,USA,México
52587,,USA,México
52619,,USA,México
52625,,USA,México
52626,,USA,México
56012,,États-Unis,"Noyelles-Godault,France"
56018,,U.S.A,"Courrières,France"
56043,EUA,EUA,MEXICO
56090,USA,"Springfield,USA","Key west,Florida"
56204,,Italy,"San Francisco,California,USA"
56480,US,"US,California","Sherbrooke,QC Canada"
56487,USA,California,Saint Kitts and Nevis
56586,"[ALMENDRAS],California,Estados Unidos","Agrón (parroquia),Ames,La Coruña (provincia),Galicia,España","Madrid,España"
56587,"[ALMENDRAS],California,Estados Unidos","Agrón (parroquia),Ames,La Coruña (provincia),Galicia,España","Madrid,España"
56588,South Africa,south africa,Mauritius
56672,ESTADOS UNIDOS,ESTADOS UNIDOS,SUPERMERCADOS
56928,états-unis,états-unis,"Pirae,tahiti"
57104,"Royaume-Uni,Union Européenne",Royaume-Uni,France
57693,Estados Unidos,Estados Unidos,México
57699,México,Ciudad de México,Walmart
57700,México,Ciudad de México,Walmart
58223,Estados Unidos,Ciudad de México,Walmart
58267,Estados Unidos,Ciudad de México,Walmart
58300,Estados Unidos,ciudad de México,Walmart
58301,Estados Unidos,Ciudad de México,Walmart
58302,Estados Unidos,Ciudad de México,Walmart
58334,Estados Unidos,Ciudad de México,Walmart
58406,MEXICO,MEXICO,MEXICO
58408,,México,México
58789,,Royaume-Uni,"France,Royaume-Uni"
58794,,Royaume-Uni,"France,Royaume-Uni"
58821,,Royaume-Uni,"France,Royaume-Uni"
58847,,United Kingdom,"Liverpool,United Kingdom"
59441,,USA,"Dublin,Ireland"
59500,,États-Unis,"Collégien,France"
59506,,Etats-Unis,France
59537,,Etats-Unis,"Flers-en-Escrebieux,France"
59539,ETATS UNIS,ETATS UNIS,France
59586,,Etats Unis,"Dijon,France"
59683,Estados Unidos,Sinaloa,Walmart
59700,Estados Unidos,Sinaloa,Walmart
59751,Estados Unidos,Sinaloa,Walmart
59756,Estados Unidos,Sinaloa,Walmart
59786,USA,USA,"Le Mans,France"
59903,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
59904,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
59905,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
59906,ESTADOS UNIDOS,ESTADOS UNIDOS,MEXICO
59907,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
59908,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
60174,United Kingdom,United Kingdom,London
60584,MEXICO,MEXICO,MEXICO
60686,,Italie,"France,Paris"
61471,,"Tiptree,Essex,England,United Kingdom","Liverpool,United Kingdom"
61475,France,Quetigny,Montreal
61481,,france,"San Francisco,California,USA"
61534,,"Royaume-Uni,Angleterre","United Kingdom,Liverpool,France"
61538,,Angleterre,"France,Trignac"
61629,"Royaume Uni,Ecosse","Royaume Uni,Ecosse",France
61630,États-Unis,France,"France,Paris,Royaume-Uni"
61689,,UK,France
61758,,Mexico,"Brooklyn,NY,USA"
62101,"OH,USA","Delphos,OH,USA","Saint-Jean-sur-Richelieu,Québec"
