code,product_name,stores,carbon-footprint_100g,nutrition-score-fr_100g,price_per_100g,store_currency
7613269167747,"Sugo Pomodoro Anna’s Best, Bio",Migros,191.9,,0.975,CHF
7613269195337,Chocolat au lait aux éclats de noisettes,Migros,1178,24,2.1,CHF
7613269260417,Pesto basilico,Migros,381.6,18,1.93,CHF
7616500012202,Chocolat Tourist Crémant,Migros,1311,25,2.25,CHF
7616500012509,Chocolat Tourist,Migros,1145,24,2.25,CHF
7616500020030,Les Adorables Cremetta,Migros,1206,21,2.2,CHF
7616500020290,Chocolat noir fourré à la crème d'amandes,Migros,1293,22,1.75,CHF
7616500644403,Suprême Lait Noisettes,Migros,1001,21,2.35,CHF
7616500904842,Suprême Noir Authentique,Migros,2842,16,2.7,CHF
7616600709736,Yogourt Nature,Migros,55.6,-1,0.2,CHF
7616700002652,Tresse au beurre,Migros,32.3,9,,CHF
7616700114553,Croissants Précuits au Beurre,Migros,76.1,15,1.7,CHF
7617027956352,Tortellini aux épinard et à la ricotta,Migros,248.2,0,0.46,CHF
