code,product_name,store_currency,price_per_100g,match_scores
3018930046682,Sticks et Bretzels Ancel,EURO,,0.04999999999999999
3019080066018,"Thon Entier au Naturel Albacore, Petit Navire",EURO,0.2473,0.8591269841269842
3019081236342,Thon entier au naturel - Albacore,EURO,0.2473,0.6875
3019081236366,Thon entier au naturel,EURO,0.1471,1.0
3021690008470,Boulettes à la sauce tomate,EURO,0.0202,0.5714285714285714
3021690011234,Torsades aux Fricadelles sauce tomate cuisinée,EURO,0.044800000000000006,0.65
3021690019797,"Blanquette de Poulet, Riz Basmati & Petits Légumes",EURO,0.0993,0.7559523809523809
3021690022933,"Pavé de Colin, Légumes cuisinés à la crème  & criz (2,2 % MG)",EURO,0.111,0.5011904761904762
3021690024395,Ravioli à la sauce tomate,EURO,0.0101,0.8
3021761206521,Pom'potes,EURO,0.041299999999999996,0.8888888888888888
3021990076476,Chausson aux Pommes,EURO,0.09380000000000001,1.0
3021990076551,Beignet Bretzel *4,EURO,0.0959,0.38690476190476186
3021990080374,Beignet Nature Frit Framboise,EURO,0.041299999999999996,0.5376984126984127
3021990080664,Pain aux raisins,EURO,0.0925,0.8095238095238096
3021990081456,Baguette pointue,EURO,0.0029,0.625
3021990083924,Briochettes nature,EURO,0.0322,0.7272727272727273
3021990085201,Malicettes,EURO,0.166,0.8
3021990117421,Babka Nature,EURO,0.0322,0.6
3022825850117,Cassoulet - Pur Porc,EURO,0.024300000000000002,0.75
3023260022459,P'tit basque,EURO,0.2595,0.9
3023260027652,La sauce au Roquefort,EURO,0.1125,0.18333333333333332
3023260028697,Roquefort AOP (part dégustation),EURO,0.2,0.8583333333333334
3023260028970,"Roq'Croque (8 Tranches) - (17,5 % MG)",EURO,0.049100000000000005,0.36507936507936506
3023260029632,À saupoudrer (38% MG),EURO,0.0308,0.3916666666666667
3023260029663,Croque & Burger (17% MG),EURO,0.053099999999999994,0.275
3023260029694,Pérail,EURO,0.26,0.8333333333333334
3023260030157,Société Crème (maxi format),EURO,0.1208,0.7214285714285714
3023290007150,Mix-In Kit Kat,EURO,0.1496,0.6666666666666666
3023290021316,Le Viennois Chocolat noir,EURO,0.0447,0.59375
3023290101995,"Assortiment de Yaourts au Lait Entier Aromatisés Noix de Coco, Vanille, Fraise et Citron",EURO,0.0786,0.3202149041434756
3023290110898,Le Viennois (Compote Pomme Fraise),EURO,0.027999999999999997,0.6964285714285714
3023290112243,Le Petit Pot de Crème au Chocolat (8 Pots),EURO,0.0385,0.7666666666666666
3023290165393,La Laitière le Petit Pot de Crème au Chocolat,EURO,0.1048,0.3937830687830688
3023290166079,"Neige de lait, Noix de Coco (4 Pots)",EURO,,0.6125
