code,product_name,store_currency,price_per_100,match_scores
7610311800027, M-CLASSIC Fondue Chinoise Boeuf Suisse,CHF,4.666666666666667,0.675
7610553511477,Lait entier ,CHF,4.095238095238095,0.7
7610553511484,Lait,CHF,2.35,1.0
7610745612128,Nuggets,CHF,1.7333333333333332,1.0
7610745622240,Cordon bleu,CHF,1.846153846153846,1.0
7610745672245,Quorn escalope nature,CHF,2.727272727272727,0.75
7610745681100,Quorn hot dog,CHF,2.5,1.0
7611521031416,Chicken Nuggets en pâte,CHF,1.68,0.6214285714285714
7611521038965,Chicken Nuggets,CHF,1.68,1.0
7612100002674,Caotina original,CHF,1.4375,0.6875
7613036188173,Beba optipro junior 18+,CHF,2.4375,0.75
7613269104179,Crispy hearts,CHF,2.2608695652173916,0.5833333333333333
7613269123231,Vegetable burger,CHF,1.875,1.0
7613269146667,Grill Mix,CHF,1.884057971014493,1.0
7613269150862,Nasi Goreng,CHF,0.4,1.0
7613269162179,Quinoa rouge,CHF,0.27999999999999997,0.625
7613269163886,Sélection noir pistache salées ,CHF,5.3125,0.5972222222222222
7613269165415,Saladbowl Provençale,CHF,2.388888888888889,1.0
7613269167747,"Sugo Pomodoro Anna’s Best, Bio",CHF,0.975,0.7766666666666667
7613269181033,Chicken Nuggets panés,CHF,1.68,0.7333333333333334
7613269187295,Barres de céréale Crunchy Corn Flakes,CHF,2.307692307692308,0.6031746031746031
7613269187356,Farmer Soft Joghurt,CHF,1.8803418803418805,1.0
7613269188612,Frelitta Bicolor,CHF,1.025,1.0
7613269193999,Mélange de Noix de Qualité,CHF,2.7,0.6857142857142857
7613269195306,Chocolat au lait,CHF,2.1,1.0
7613269195405,Chocolat blanc,CHF,5.4,0.5625
7613269195429,Chocolat au lait ,CHF,2.1,1.0
7613269195443,Chocolat au lait avec éclats de noisettes ,CHF,2.1,0.5734126984126984
7613269195504,Chocolat noir,CHF,1.6666666666666667,1.0
7613269195603,chocolat au lait,CHF,2.1,1.0
7613269195702,Crémant,CHF,5.4,1.0
7613269203957,Tourte truffée,CHF,7.15,0.7142857142857143
7613269223375,Burger Buns,CHF,2.142857142857143,0.6666666666666667
7613269224075,Verdura,CHF,1.2941176470588238,1.0
7613269231837,Vegetable Spring Rolls ,CHF,1.9285714285714288,0.6666666666666666
